hai,hey
sauna,"sauna, sweat room"
ocean,
rekannya,
berlangsung,"along, on"
nanana,
sporty,
ow,
menyelam,"submerge, submerse"
maskot,mascot
sorenya,
darius,
tamnel,
numpang,
senyuman,"smile, smiling, grin, grinning"
cleaner,
burning,
maning,
naufal,
sekilas,"lightly, softly, gently"
seninnya,
ating,
wushu,
proud,
nangkep,
dapatkan,
newbe,
lite,
joox,JOOX
pelangi,rainbow
sudut,angular
efeknya,
temboknya,
di-zoom,
ubay,
kepanasan,"warmth, warmness"
ngeblank,
dibales,
oppo,
showing,
duduk-duduk,
dinding,"rampart, bulwark, wall"
mbek,
yami,
lor,
dibangun,
ngetop,
links,
kamen,
drinks,
dilarang,
yowes,
ls,
andrew,
momentum,momentum
dasarnya,
scripts,
armor,
brankas,
pineapple,
distracted,
angsa,cackler
pitanya,
deepsleep,
oreo,
kucingku,
lope,
mela,
ahlinya,God
bibirnya,
perosotan,
menyesuaikan,"adjust, conform, adapt"
dimabuk,
pesek,
ditranslate,Translate
leading,
balkon,balcony
paralayang,
butar,Butar.
takutan,
magi,
jamet,
kazu,
endorse,
penempatan,"placement, location, locating, position, positioning, emplacement"
carbonara,
pengambilan,appropriation
bimbimbap,
pituin,
tasty,
projection,
paradoks,paradox
rogo,
sukmo,
terlentang,"spread, overspread"
cenah,
pempek,
konsol,console
ip,
jamur-jamur,
nembak-nembak,
gerobak,cart
woke,
seimbang,commensurate
tolak,"push, pushing"
pinpin,
kekekekeke,
kyai,
lapah,
gameover,
supercats,
sasando,
chalenger,
silence,
monetisation,
smpi,
asean,
ditolak,
classic,
tetet,Tetet.
mencerna,"adopt, take in"
bergizi,
pemimpin,chairmanship
diablo,
messi,
mayones,"mayonnaise, mayo"
tawar,"starchy, stiff, buckram"
like-like,
upi,
etos,Ethos
pembawa,"carrier, immune carrier"
perry,
sejumlah,batch
bis,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle"
cabai,pepper
rizkia,
receh,Dereh
anita,
berkumpul,"accumulate, cumulate, conglomerate, pile up, gather, amass"
fendi,
jasmine,Jasmine
suryo,
engkong,
brownies,
sita,
crew,
ortu,
tense,
rebutan,
hunting,
ebooks,
oni,Oni
pastikan,"determine, find, find out, ascertain"
cowok-cowok,
ilya,
salahkan,
rahma,Rahma
vision,
direction,
warnai,
sembilan,"nine, 9, ix"
fool,
aikatsu,
kpop,
mechs,
blu,
lovers,
aksen,"stress, emphasis, accent"
waalaikum,Waalaikum
aneka,"assorted, various"
barangmu,
concert,
kmi,
striker,
casing,
livescore,
moneter,
swear,
arigathanks,
relationship,
sayur-sayur,
gepeng,
greetings,
obor,torch
santi,
majunya,
he's,
entek,
yoke,
digunakan,
dosenku,
entrusting,
dinamakan,
aci,legal
melebur,"unify, unite, merge"
diinginkan,
aoyama,
ngising,
ditegur,
berduri,"barbed, barbellate, briary, briery, bristled, bristly, burred, burry, prickly, setose, setaceous, spiny, thorny"
berisi,"laden, oppressed"
memories,
uchiha,
ttttttt,
nn,
mnc,
anggep,
mengerjakan,"exercise, work, work out"
wali,guardian
baso,
amar,
menginspirasi,inspiring
seumur,"wholly, entirely, completely, totally, all, altogether, whole"
partner,
listriknya,
wan,
marahnya,
mamamu,
tentangnya,About it
ghaib,"disappear, vanish, go away"
braile,
kyanya,
percayalah,
mon,Mon.
sepupuku,
zombie-zombie,
cangkok,
urea,"urea, carbamide"
encen,
usus,"intestinal, enteric, enteral"
piton,"reticulated python, python reticulatus"
ngerosting,
tinggalnya,
shade,
bermimpi,"dream, daydream, woolgather, stargaze"
anehnya,Strangely
ketimpa,
penampakan,"visual image, visualization, visualisation"
moscot,
grammy,
gatot,
pelurunya,
nakutin,
rings,
slimming,
gulai,curry
demokrasi,democratic
wookie,
hoon,
dicuci,
sepecat,
teriyaki,teriyaki
dewe,
depresi,depression
puding,dumpling
bob,bouffant
chigga,
tomate,
koyo,
ampas,marc
rini,
terbenam,"dress, arrange, set, do, coif, coiffe, coiffure"
sebagus,Sebagus
broh,
sebelahnya,
attack,
iming,
timah,"tin, sn, atomic number 50"
forex,
menghindar,avoid
dg,
strings,
dikitlah,
rasul,apostle
ditakuti,feared
seharian,"daylong, all day long"
whether,
ketuk,"tap, pat, dab"
nugroho,
acoustic,
yona,
comedy,
presented,
input,input
keanehan,"curio, curiosity, oddity, oddment, peculiarity, rarity"
fotoin,
lori,"car, railcar, railway car, railroad car"
batu-batu,
lower,
ngeflek,
kecapnya,
suspect,
getaran,"vibration, quiver, quivering"
bor,drill
kasihnya,
sampel,"sample, try, try out, taste"
rendam,"soak, soakage, soaking"
mimin,
kristen,
pensil,pencil
nganga,
sms-an,
donatur,
semula,"again, once again, once more, over again"
medley,
memenuhi,brim
fokusnya,
lomba,race
beritahu,
disebutnya,He called
istilahnya,
syok,"hilarity, mirth, mirthfulness, glee, gleefulness"
mekar,"blossom, blossom out, blossom forth, unfold"
ditambal,
sepatuku,
tret,
furnished,
panggangan,broiler
walrider,
bantala,Bantala
suren,
adobe,
wonocolo,
ketipu,
jenenge,
astaghfirullah,
checklist,
viewer,
wadow,
sniper,Sniper
kuda-kuda,sawhorse
surfing,
skema,"outline, schema, scheme"
method,
sekalinya,
tiupin,Tiupin
pengingat,reminder
polres,
menyapa,greet
terkait,"related, related to"
nganu,
kotanya,
senyum-senyum,
tanam-tanam,
bersamamu,
lamanya,
biji-bijian,"semen, seed, seminal fluid, ejaculate, cum, come"
jauhnya,
saluran,road
kupikir,
osis,Ost
kekiri,
fatur,
dilawan,
teret,
ameh,
depanmu,
puber,"puberty, pubescence"
lihatlah,
diraih,
semangat-semangat,
nyenengin,
hints,Hints.
kalianlah,
dira,Dira
gomez,
kannya,
blood,
hahay,
wiki,
stridor,
ukir,"describe, depict, draw"
offering,
dbd,
hendar,
sa,
batak,batak
untuknya,
wh,
mimpiin,
setyo,
cakwe,
perlahan,"inert, sluggish, soggy, torpid"
berencana,plan
pressure,
anggi,
digergaji,
elevator,Elevator
dorong-dorong,
pahit-pahit,
kamisama,
anjingnya,
keliling,"approximately, about, close to, just about, some, roughly, more or less, around, or so"
colorful,
menyanyi,"whistle, sing"
nyam-nyam,
observer,
makassar,
rang,fallow
al-kautsar,
adele,
report,
palunya,
concern,
taufik,
stopped,
comes,
tresno,
dahan,"arm, branch, limb"
seventeen,
desert,"dessert, sweet, afters"
sebutnya,
bag,
mager,
udahnya,
mendownload,
ngerinya,
cendet,
effect,
mastering,Mastering
yard,yard
eka,single
kwak,
merk,"brand, trademark, brandmark"
twenty,
smiling,
tb,
mt,
bored,
build,
ball,
festia,
kembang,"wide, wide-cut, full"
memory,
yuli,
doyok,
shoulder,
tara,even
emi,Emi.
winnie,
mendes,
keterlaluan,"extremely, exceedingly, super, passing"
instrumen,instrument
pictures,
must,
cimahi,
lelet,
menabrak,"run down, run over"
ayus,
olla,
sumbar,
exactly,
tung,
roti-roti,
maiden,
shown,
keki,
sinai,
temanya,
gembok,padlock
translated,
remora,
helmet,
sesok,
creation,
skripsinya,
murai,"robin, american robin, turdus migratorius"
belt,
maskernya,
betis,calf
kia-kia,
java,
eksis,
lines,
gawat,critical
livechat,
rote,
journey,
gurih,tasty
skeptis,"agnosticism, skepticism, scepticism"
drops,
kelincinya,
congratulations,
jalanin,
kailan,
aspek,aspect
moms,
analisis,analysis
irel,
past,
golf,golfing
kanji,"singlet, vest, undershirt"
ailun,
diborgol,
ndek,
dayung-dayung,
congress,
fort,
ops,
thinks,
toner,
sad,
speech,
tvc,
waduk,"pond, pool"
nga,
serak,"gruff, hoarse, husky"
menerangi,light
selang,alternate
becek,"moisture, wet"
kuotanya,
kalian-kalian,
notif,
insyaallah,
ben10,
terkena,"shoot, hit, pip"
pucat,"pale, blanch, blench"
mudahnya,
melupakan,"obliterate, efface"
bersih-bersih,
iqbal,Iqbal
liburan,vacationing
ngegame,
slip,"slip, slip of paper"
berupa,
obo,"oboe, hautboy, hautbois"
terlambat,"late, belatedly, tardily"
mengadakan,stage
terjebak,"entice, lure, tempt"
nnnnnn,
samuel,
membahas,"cover, wrap up"
telapak,sole
produksi,production
diganggu,"disquieted, distressed, disturbed, upset, worried"
melayang,soar
lengkapi,
a3,
klipnya,
donesia,
autec,
antartika,"antarctic, antarctic zone, south frigid zone"
marvin,
ri,
flag,
spiral,"coiling, helical, spiral, spiraling, volute, voluted, whorled, turbinate"
nari,
fb-nya,
loss,
mendatangkan,"causal agent, cause, causal agency"
lebihnya,
ajakan,invitation
nyampenya,
bar,bar
ingatkan,
omega,omega
beratnya,
ph,
sisinya,
azis,
kings,
herbal,
menjangkau,"reach, get through, get hold of, contact"
hasyim,
senang-senang,
makanan-makanan,
cadangan,suggestion
ford,
plan,
komentarnya,
didalam,
row,
jelasnya,"bad weather, inclemency, inclementness"
dibutuhkan,
wafel,waffle
mae,Mae.
sin,
engkaulah,
kecepatan,"alertness, sharp-sightedness, on the qui vive"
biasakan,
hood,
fill,
butuhnya,
1b,
sweep,
sok-sokan,
vina,
kubu-kubu,
saha,
jang,
basa-basi,
baper,
niaga,"trade, craft"
tunggal,solo
ayuk,
perkembangan,development
mesra,"steep, infuse"
g-star,
tabel-tabel,
essence,
tuk,
jaman,
mesen,
tobat,"repentance, penitence, penance"
ngeronda,
nyali,
epson,
unlock,
stabil,stable
nyampai,
visi,Vision
hok,"hock, hock-joint"
nilai-nilai,
bd,
sirih,"betel, betel pepper, piper betel"
nahkoda,skipper
diberi,
xxx,
mendengarkan,
ringan,"lighten, lighten up"
served,
suaramu,
referensi,"reference, cite"
patuh,compliant
rekaman,recording
bokong,butt
ditangkap,"get, catch, capture"
adik-adik,
terdekat,"nearest, nighest, closest"
langganan,custom
kecilkan,
motion,
slot,"time slot, slot"
in-game,
aston,
zuk,
apasih,
diselesaikan,
angga,
ginilah,
enggeh,yes
berbakti,vow
jeritannya,
diputerin,
abad,"hundred, 100, c, century, one c"
yayasan,"initiation, founding, foundation, institution, origination, creation, innovation, introduction, instauration"
pembukaan,"beginning, start, commencement"
hiiragi's,
pilot,"aviator, aeronaut, airman, flier, flyer"
nyarinya,
safety,
sugeng,
mars,
buktinya,
mono,"infectious mononucleosis, mononucleosis, mono, glandular fever, kissing disease"
mengalir,"menstruate, flow"
cce,
tawa,laughter
trauma,"stabbing, wounding"
sininya,
gurita,octopus
jackie,
alatnya,
badge,
replay,
beritanya,
olivia,
sticky,
shipping,
dibikinin,
corak,"shape, form"
memimpin,lead
tongkat,cane
fauna,"animal, animate being, beast, brute, creature, fauna"
tampan,"fine-looking, good-looking, better-looking, handsome, well-favored, well-favoured"
dicas,
kediri,
e-business,
doesn't,
manusiawi,human
aduk-aduk,
zain,
megah,glorious
diomelin,
idon,
outing,
ide-ide,
holon,
omong,"speak, talk"
template,
odol,
gom,
akar,"root, tooth root"
crimson,
meni,
alamat,address
ceh,
civic,
diakui,
creating,
beracun,poisonous
shutdown,
lights,
suchs,
arema,
spell,
ngirimin,
welcomeback,
numpuk,
toge,seedling
pengikut,discipleship
covers,
eni,
yati,
keripik,
velvet,
hydration,
im3,
jungleland,
leaves,
palace,
hidupkan,
rainy,
del,
asam,sourly
piro,
dilock,
lowongan,vacancy
dikeroyok,
soo,
nov,
yesung,
tombol-tombol,
selasa,"tuesday, tues"
town,
classes,
nc,
sukke-sukke,
pajak,"pawn, soak, hock"
matiinnya,
diturunin,Diturunin.
soekarno,
gaul,Gaul.
mengurus,"administer, dispense"
ss3,
rhythm,
capture,
cocoknya,
kantong,bag
datanglah,
devil's,
memutuskan,"cut, cut off"
cebong,"tadpole, polliwog, pollywog"
bandel,"stubborn, obstinate, unregenerate"
waktu-waktu,
within,
partai,party
gracias,
detailnya,
kaise,Kaise
jelaskan,
mel,"mail, mail service, postal service, post"
boot,
tenggara,"southeast, south-east, sou'-east"
nero,
daily,
suzuki,
indomie,
maksudmu,
suv,
kari,curry
ajaran,"education, instruction, teaching, pedagogy, didactics, educational activity"
dululah,
bolanya,ball
dekatnya,
datang-datang,
shirt,
clan,
genep,
tumpeng,
hai-hai,
gedenya,
alkohol,"alcohol, alcoholic drink, alcoholic beverage, intoxicant, inebriant"
irak,
mengandung,"have a bun in the oven, bear, carry, gestate, expect"
laundry,
pemuda,"young, youth"
alan,
skinnya,skin
dashboard,
saudari,
hulu,"interior, midland, upcountry"
menyerang,attack
fans-nya,
cop,
mbaknya,
haloid,
penyemangat,
raksasa,giant
isis,
kemana-kemana,
dagu,"chin, mentum"
konteksnya,
dipasang,
pakailah,
ketawain,
booker,
jesus,
donlot,
torch,
skeleton,
graduate,
tangkil,
suggest,
nut,
planks,
tenar,
giving,
akrilik,"acrylic, acrylic resin, acrylate resin"
glider,
purple,
komo,
pabrik,"factory, mill, manufacturing plant, manufactory"
majuin,
melihatmu,
mcdonald's,
yohanes,
buy,
viora,
ivan,
mer,
honornya,
bs,
souls,
dosa,"transgression, evildoing"
smoke,
nowhere,
azriel,
saini,
fullset,
momentumnya,
stoner,
mp,
responding,
hamba,yes
swasta,
kontennya,Content
insaf,"penitent, repentant"
hiiragi,
tika,
dododododo,
suit,suite
kebangkitan,"rebellion, insurrection, revolt, rising, uprising"
ceria,"beaming, beamy, effulgent, radiant, refulgent"
kebodohan,"faux pas, gaffe, solecism, slip, gaucherie"
pharrell,
diputar,
pororo,
blues,blues
tarif,"duty, tariff"
freelance,
ikuzo,
pantunnya,
where's,
sik,
membikin,make
syah,"shah, shah of iran"
tempel,
leo,
kadek,
ninih,
sip-sip,
stones,
nun,
ferdinand,
spend,
kerasa,
serang,"hit, smash, smasher, strike, bang"
nuri,parrot
dibalikin,
ips,
tersedia,available
oranye,
bgm,
earth,
evelyn,
keliling-keliling,
alor,
wiwit,
pagar,"rail, rail in"
arca,"objet d'art, art object, piece"
nyokap,
headlamp,
soracca,
mundurnya,
animasi,animation
menemui,"proceed, go"
dipancing,
baginya,
hinata,
papaku,
vodka,vodka
xx,
diusir,
nunduk,
hobby,
membela,marketing
terbang-terbang,
internetnya,
komplek,
stigma,"mark, stigma, brand, stain"
istilah,word
kacanya,
exploring,
watashino,
akustik,"acoustic, acoustical"
artisnya,
blokir,"stymie, stymy"
marahin,
puni,
inu,Inu.
french,
konteks,"context, linguistic context, context of use"
you'd,
animals,
inspired,
hollywood,
sebaiknya,advisable
cilegon,
aan,
asmaul,
zata,
jeda,Pause
favorite,
sewa,rent
posted,
pindahan,Pope
segaris,in a line
serbuk,crumb
etc,
kepang,"braid, lace, plait"
ikhsan,
queensland,
penyembuhan,healing
manipulatif,
ajep,
icebox,
nelson,
kartesius,
jura,
kornet,"cornet, horn, trumpet, trump"
efforts,
selamatan,
barbara,
f3,
direkam,
toyib,Toyib
lisensi,"license, licence, permit"
chips,
tuna,"albacore, long-fin tunny, thunnus alalunga"
yuyun,
quite,
slate,
broke,
ep,
garlic,
bere,
nasrul,
babak,"sequence, episode"
bihun,
keseimbangan,balance
cingur,
mut,
trick,
beltnya,
welly,
periodik,"periodic, periodical"
pitch,
tutupin,
frekuensi,"frequency, absolute frequency"
mcd,
ngekill,Ngekill
ndx,
tren,
motong,
heal,
suarez,
ngedeketin,
tembak-tembak,
security,Security
idon't,
aksinya,
feeding,
arwana,
kumis,"beard, face fungus, whiskers"
awi,
porsinya,
suriah,
alfi,
angie,
bike,
recommended,
dp,
hea,
excellent,
tommy,
daijoubu,
saved,
tap,
bandicoot,
gol-gol,
enda,
oriana,
seeing,
yup,
kipasnya,
eki,
jessica,
tahukah,
sejuta,
jeraminya,
liquid,
rekomendasi,"recommendation, testimonial, good word"
dijagain,
mentang-mentang,
ondel-ondel,
elisa,
jaan,
seal,
perginya,
website-website,
sung,
landak,"hedgehog, erinaceus europaeus, erinaceus europeaeus"
hosted,
australia,
filternya,
membeku,freeze
cowboys,
klarifikasi,
usa,
bawangnya,
deketan,
discount,
truth,
fatal,fatal
polos,"innocent, guiltless, clean-handed"
nebak,
lunch,
chock,
xiaomi,
pray,
yoroshiku,
magnet,"magnetic, magnetized, magnetised"
mayday,
manajer,
kondang,"celebrated, famed, far-famed, famous, illustrious, notable, noted, renowned"
ashraf,
clock,
greatest,
sifana,
counts,
kazakhstan,
konferensi,conference
kepribadian,personality
ore,ore
fail,"file, file cabinet, filing cabinet"
datar,even
inoue,
skak,
fx,
julia,Julia
gura,
nunggu-nunggu,
plus-plus,
panco,
solution,
umar,
kunyah,"chew, chewing, mastication, manduction"
akupun,
syariat,"shariah, shariah law, sharia, sharia law, islamic law"
mempermudah,"facilitate, ease, alleviate"
nangka,"jackfruit, jak, jack"
kebakar,
yamaha,
kiro-kiro,
enggaknya,
prefer,
suram,bleakly
kolom,
southern,
searching,
oakley,
yun,
pendeta,"abbot, archimandrite"
kuya,
ulangan,encore
ilmi,
kampret,"carnivorous bat, microbat"
events,
gobak,
omg,
badut,"clown, buffoon, goof, goofball, merry andrew"
nader,
faded,
relevan,relevant
ketebak,
lightening,
amazed,
thought,
nota,note
kea,
indian,
ellie,
metro,"metro, tube, underground, subway system, subway"
record,
kiting,
tertib,polite
sejujurnya,
tetaplah,
montech,
buncis,pulse
hammers,
jumbo,"elephantine, gargantuan, giant, jumbo"
browns,
ones,
gill,
seluncur,
pemanasannya,
bandingin,
gemscool,
stadium,"stadium, bowl, arena, sports stadium"
vanilla,
putus-putus,
skill-skill,
ditanganku,
silet,
poin-poin,
puing-puing,
kulon,
juri,jury
remind,
janger,
punyamu,
nebeng,
bronsted-lowry,
passion,
kyu,
drill,
audit,audit
masuk-masuk,
newbi,
disayang,
kadar,"merely, simply, just, only, but"
barumu,
made,
demen,"like, similar"
outright,
jepangnya,
tadase,
keringat,"perspiration, sweat, sudor"
takoyaki,
ngeklik,
diklaim,
shooter,
relation,
otsukare,
ombak,wave
memperluas,"exsert, stretch out, put out, extend, hold out, stretch forth"
pilek,"cold, common cold"
recording,
denah,"diagram, plot"
kyuhyun-ah,
diah,
ngikut,
sampainya,
dikobok,Burdy
tertolong,
submission,
itb,
foot,
disentuh,
oprek,
koinnya,
nenenene,
ja,
ginga,
ingatin,
menghabiskan,"scavenge, clean"
dieselnya,
refer,
rawat,"treat, care for"
restoring,
ted,
ngabarin,
bertahun-tahun,"long time, age, years"
sarkasme,sarcasm
mertua,
cctv,CCTV
jemuran,clothesline
yakobus,
ani,
kon,cone
lekas,expeditious
gerak-gerak,
kepercayaan,"ideological, ideologic"
gravitasi,
reva,
dengar-dengar,
backsound,
bercerita,yarn
sc,
kebangun,
kondusif,
tono,
ramadan,
helikopter,helicopter
neken,
pemakaman,burial
suasananya,
kalimatnya,sentence
achs,
membutuh,
menempuh,"digest, endure, stick out, stomach, bear, stand, tolerate, support, brook, abide, suffer, put up"
msih,
pacat,
ngedrift,
client,Client
edge,
mustahil,"incredible, unbelievable"
sekuat,
rooting,
salad,salad
colokan,
akalin,
pajero,
urung,"fail, go bad, give way, die, give out, conk out, go, break, break down"
agents,
anak2,
ke-10,
kumaha,Kumaha
sido,
jaket,jacket
rare,
ukraina,
kabut,"obscure, befog, becloud, obnubilate, haze over, fog, cloud, mist"
kubuat,
helmnya,Helm
print,
irfan,
scam,
bukit,hill
taklim,
difoto,
tulisin,
gelisah,"distraught, overwrought"
core,
didengerin,
komposisi,ingredient
tebakan,puzzle
yudhoyono,
onboard,
anniversary,
reda,calm
salahin,Wrong
membosankan,"tire, wear upon, tire out, wear, weary, jade, wear out, outwear, wear down, fag out, fag, fatigue"
tingkah,"caprice, impulse, whim"
ekstrimnya,
kesayangan,"beloved, darling, dear"
akbar,
ayahku,
ramos,
url,
rumus,formula
homestay,
mengendarai,ride
hidup-hidup,
moal,
lampung,
bangetlah,
aba-aba,
berlebihan,"excessively, overly, to a fault, too"
alaikum,
amanda,
dh,
cucilah,
emo,
general,
kyo,
batam,
atom,atomic
guguk,Guguk.
utututu,Utututu
bumbunya,
yeuh,
hemer,
asas,basic
qt,
kada,
curling,
karir,"career, life history"
kabarin,
kuintal,"hundredweight, cwt, short hundredweight, centner, cental, quintal"
munich,
ijen,
glasgow,
perkataan,word
spear,
tombaknya,
dibacakan,
brushes,
renouw,
mempertaruhkan,"count, bet, depend, look, calculate, reckon"
ll,
nyemangatin,
magrib,
ngatur-ngatur,
presenter,
lesti,
milan,
anion,anion
catfish,
tambahkan,
dicium,
serigala,wolf
tenenenet,
profesi,profession
berbunyi,strike
nembaknya,
aki,"barrage, barrage fire, battery, bombardment, shelling"
mano,
i7,
hendro,
truknya,truck
turki,
dididik,
aapa,
channels,
1/2,
keset,
nganter,
bermanfaat,advantageous
urusannya,
sensi,
penulis,"essayist, litterateur"
boya,buoy
amelia,
menekan,engage
dukun,"marabou, marabout, marabou stork, leptoptilus crumeniferus"
setahu,
dijelaskan,
ngemeng,Fucking
robotnya,His robot
benderanya,
dipermudah,
binatangnya,
gel,"gel, colloidal gel"
anggotanya,
anggun,"courtly, formal, stately"
nyicil,
risau,"flustered, hot and bothered(p), perturbed, rattled"
spain,
dinilai,
nude,
berpindah,move
sherly,
deal,
goceng,
bayu,Bayu.
kristal,crystal
bekerjasama,cooperation
akankah,
kesemuanya,"wholly, entirely, completely, totally, all, altogether, whole"
menanti,"expect, look, await, wait"
selaku,"equally, as, every bit"
sadap,"wiretap, tap"
repotnya,
matilah,
jyj,
goku,
manisnya,
patungan,
mintanya,Mintanya
menjauhkan,"estrange, alienate, alien, disaffect"
hamid,
betulan,
panggang,"broil, broiling, grilling"
nikmati,
nyatet,
sendirinya,
kembang-kempis,Kempis
marsya,Marsya
pedayung,Pedayung
sinergi,Synergy
bokongmu,Your buttocks
tanamannya,
berhenti-berhenti,
dilihat-lihat,
menakutkan,"atrocious, frightful, horrifying, horrible, ugly"
riza,Riza
sejahtera,
joker,joker
gain,
cintaku,my love
serba,
toyo,
tanggapan,"sensing, perception"
menjauhi,avoid
digotong,
kalisa,
penjelasannya,
menyatakan,state
meksiko,
lincah,"agile, nimble, quick, spry"
ahay,
dibaca-baca,
killernya,
menyiapkan,"fix, prepare, set up, ready, gear up, set"
koma,"coma, comatoseness"
diselamatkan,
dibilangnya,
bibi,"aunt, auntie, aunty"
ngebunuh,
kekanan,
walpurgis,
kuda-kudaan,horse-horse
haluskan,
kung,bark
juve,
mih,
kenaikan,"lift, raise, heave"
dinyalain,
mengarah,"directing, directional, directive, guiding"
twing,
cuk,
rutin,routine
topping,
tunggul,stump
freshwater,
ribet-ribet,
ika,
gosok,"rub, wipe"
telp,
rocky,
protect,
pusing-pusing,
pianonya,piano.
kejadiannya,
sawahan,
lemak,"fatty, fat"
dipinjam,
meal,
alfian,
hutang,owe
udon,
choki-choki,
geser-geser,
maze,
mkn,
moana,
probably,
selangit,extraordinary
kontes,contest
ikazuchi,
kembalikan,
opsi-opsi,
backward,
reminder,
touching,
luwe,
smoothie,
odon,
rosting,
tensai,
pap,
nissan,
completing,
dumai,
designer,
quick,
spinner,
perbedaan,difference
aldi,
naisho,
dita,Dita
modding,
kotak-kotak,
permai,beautiful
wuah,
opah,"grandma, grandmother, granny, grannie, gran, nan, nanna"
tokonya,
oki,
uduk,
sampeyan,
sastra,
known,
rebus,boil
xp,
driving,
everybody,
yield,
mv,MV.
sni,
yeates,
convert,
plain,
lalat,fly
came,
tested,
offroad,
marvel,
subhan,
isih,
swan,
promise,
pics,
diskusi,"discussion, treatment, discourse"
olive,
warming,
kutub,polar
iseng-iseng,"procrastinate, stall, drag one's feet, drag one's heels, shillyshally, dilly-dally, dillydally"
finishing,
sah-sah,
basi,"sour, rancid"
b6,
swim,
hydro,
melindungi,"cover, wrap up"
rukun,"accommodate, reconcile, conciliate"
entry,
booknya,
ros,Ros.
dahsyat,"bloody, damn, all-fired"
doors,
nita,
nae,
detect,
siska,
bb,
enden,Enden
lambung,"pass, toss, flip"
script-script,
disimpan,
salem,"atlantic salmon, salmo salar"
meetingnya,
zahra,
denai,"track, cart track, cartroad"
tebal,"thick, thickly"
shiho,
steal,
internal,
dil,"dill, dill weed"
kenai,
makes,
denda,"punishment, penalty, penalization, penalisation"
seasonal,
habitat,"habitat, home ground"
fajri,
joanna,
truck,
shumoukh,
beer,
plans,
kecepetan,
range,
sok-sok,
al-khair,
hendri,
tenan,
doyan,
warna-warni,"motley, calico, multicolor, multi-color, multicolour, multi-colour, multicolored, multi-colored, multicoloured, multi-coloured, painted, particolored, particoloured, piebald, pied, varicolored, varicoloured"
onoh,Onoh
potensi,"potential, possible"
marsha,
didownload,
specific,
khoirul,
sumut,
bersedih,sad
uin,
yadong,
kepentingan,"sake, interest"
balon,balloon
adain,
ismail,
kimo,
herald,
menderita,"trouble, ail, pain"
moorlife,
extra,
gambare,
simbol,"emblematic, emblematical, symbolic, symbolical"
platinum,"platinum, pt, atomic number 78"
enjoyed,
dukungannya,
trophy,
2-nya,
empatnya,
kabare,
emak-emak,
penontonnya,
gya,
clippers,
m2,
wright,
langka,rare
pendidikan,education
tegas,"firm, firmly, steadfastly, unwaveringly"
estafet,
cobalah,
ditutupin,
downed,
siapalah,
kun,binding
tttttttttt,Ttttttttt
pedulinya,
satupun,
terakhirnya,
kolektor,
tangkai,"stalk, stalking"
buku-buku,books
koni,
videos,
nambahin,
beyonce,
blaze,
mempelajari,"learn, larn, acquire"
penyanyi,"singer, vocalist, vocalizer, vocaliser"
kw,
padaku,
bergantung,"contingent, contingent on(p), contingent upon(p), dependent on(p), dependant on(p), dependent upon(p), dependant upon(p), depending on(p)"
informasinya,
nathan,
aj,
kenakan,
legal,
during,
ataukah,
fobia,phobic
tidaklah,
pinnya,
junior,junior
eva,
kubunya,
nanananananana,
ledakkan,
ruko,Ruko
kritis,critical
terlepas,"unblock, unfreeze, free, release"
terowongan,
mindahin,
pegawai,"labor, labour, working class, proletariat"
daritadi,
apa-apain,
jero,
traveling,
terobosan,
akulah,
panjang-panjang,
spidol,
diburu,
doraemon,
lagikah,
boxnya,
uvuvwevwevwe,
colgate,
ardi,
industri,"industry, manufacture"
nano,
animation,
kyup,
digambar,
cuts,
duka,"grief, sorrow"
tomo,
menembak,"stamp out, kill"
bp,BP.
toples,
spa,
soyo,
perak,"silver, silvern, silvery"
berpisah,"break, separate, split up, fall apart, come apart"
takluk,"give way, yield"
balas,return
loket,locket
woy,
vampire,
wiwin,
killing,
leaflet,
maudy,
ojok,
advanced,
reduce,
central,
hat,
indit,
cars,
hiasan,"cosmetic, enhancive"
geisha,
nyeleneh,
menjangan,"deer, cervid"
bata,brick
malem-malem,
streams,
dok,"dock, dockage, docking facility"
menengah,middle
gangster,"gangster, mobster"
buka-bukaan,
akang,
santa,"ideal, paragon, nonpareil, saint, apotheosis, nonesuch, nonsuch"
cailah,
kitu,
sekutu,"allied, confederate, confederative"
surabaya,
dibongkar,dismantled
bakau,"mangrove, rhizophora mangle"
merekam,"pigeonhole, stereotype, stamp"
berganti,change
usiaku,
spesifik,
wajar,appropriate
mukaku,
kutaruh,
kesiangan,oversleep
snowden,
kapolres,
galeri,balcony
lakuin,
yen,yen
kinerja,
dijemur,
anton,
ss,
walafiat,
rawan,emotional
ps,
sonido,
lagu2,
raga,"basket, field goal"
century,
timingnya,
veril,
leak,
tragis,tragic
batman,
cewek-cewek,
terputus,Disconnect
hormat,courteous
function,
begins,
dri,
dlc,
purworejo,
kecut,afraid(p)
bingkai,"border, adjoin, edge, abut, march, butt, butt against, butt on"
dikondisikan,
perilaku,"behavior, behaviour"
pena,pen
prize,
ditiup,
proof,
uap,steam
amankan,
mar,
ngebangun,
ganti-ganti,
pastilah,
ngawi,
verrel,
trio,trio
masukinnya,
tender,"bid, tender"
erat,fast
musyrik,"idolater, idolizer, idoliser, idol worshiper"
ketemu-ketemu,
ngeblok,
ibuku,
farah,
seberang,across
terluka,cut
dibersihin,
dukuh,"hamlet, crossroads"
marilah,
belle,
